app_id,name,playtime_hours,last_played,achievements_total,achievements_unlocked,achievements_pct,avg_global_unlock_pct,rarity_floor,has_multiplayer_achievement,hltb_main_hours,hltb_completionist_hours,completionist_ratio,hltb_found
9050,DOOM 3,0.0,0,0,0,0.0,0.0,0.0,False,10.93,16.81,1.5379688929551691,True
9070,DOOM 3: Resurrection of Evil,0.0,0,0,0,0.0,0.0,0.0,False,4.05,5.78,1.4271604938271607,True
9350,Supreme Commander,0.0,0,0,0,0.0,0.0,0.0,False,18.64,50.59,2.7140557939914163,True
9420,Supreme Commander: Forged Alliance,0.0,0,0,0,0.0,0.0,0.0,False,18.04,31.78,1.7616407982261642,True
9480,Saints Row 2,0.26666666666666666,1463668695,0,0,0.0,0.0,0.0,False,19.93,50.8,2.5489212242849972,True
10500,Total War: EMPIRE - Definitive Edition,0.0,0,30,0,0.0,11.303333333333338,0.6,True,60.73,245.04,4.034908611888688,True
11040,Sherlock Holmes: Nemesis,8.983333333333333,1414440002,0,0,0.0,0.0,0.0,False,9.81,13.46,1.3720693170234455,True
11130,Sherlock Holmes: The Mystery of The Mummy,0.05,1574529028,0,0,0.0,0.0,0.0,False,5.19,5.48,1.0558766859344895,True
11140,Sherlock Holmes: The Awakened (2008),0.05,1531824318,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
11150,Sherlock Holmes: The Secret of the Silver Earring,0.0,0,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
11180,Sherlock Holmes: The Mystery of The Persian Carpet,0.0,0,0,0,0.0,0.0,0.0,False,3.48,3.61,1.0373563218390804,True
11190,Sherlock Holmes versus Jack the Ripper,12.533333333333333,1413664438,0,0,0.0,0.0,0.0,False,10.74,11.1,1.0335195530726256,True
11360,Chains,0.0,0,0,0,0.0,0.0,0.0,False,2.11,3.11,1.4739336492890995,True
11390,Crash Time 2,0.0,0,0,0,0.0,0.0,0.0,False,8.71,13.51,1.5510907003444314,True
11450,Overlord,0.0,0,0,0,0.0,0.0,0.0,False,17.02,27.13,1.5940070505287895,True
12100,Grand Theft Auto III,2.6666666666666665,1445956104,0,0,0.0,0.0,0.0,False,14.1,36.42,2.5829787234042554,True
12110,Grand Theft Auto: Vice City,6.566666666666666,1419779714,0,0,0.0,0.0,0.0,False,17.02,37.89,2.2262044653349,True
12120,Grand Theft Auto: San Andreas,5.033333333333333,1518213693,0,0,0.0,0.0,0.0,False,30.17,71.12,2.357308584686775,True
12210,Grand Theft Auto IV: The Complete Edition,4.8,1489178283,55,0,0.0,7.21272727272727,1.1,False,30.75,100.18,3.257886178861789,True
12230,Grand Theft Auto III,0.0,0,0,0,0.0,0.0,0.0,False,14.1,36.42,2.5829787234042554,True
12240,Grand Theft Auto: Vice City,0.0,0,0,0,0.0,0.0,0.0,False,17.02,37.89,2.2262044653349,True
12250,Grand Theft Auto: San Andreas,0.0,0,0,0,0.0,0.0,0.0,False,30.17,71.12,2.357308584686775,True
